Age,Gender,Education Level,Job Title,Years of Experience,Salary,APIs,Agile,Big Data,Budget Planning,Business Development,Business Strategy,Cloud,Data Cleaning,Data Visualization,Decision Making,Deep Learning,Docker,Excel,Git,Java,Leadership,Linux,Machine Learning,Operations Management,Power BI,Project Management,Python,Risk Management,SQL,Stakeholder Management,Statistics,Strategic Planning,System Design,Tableau,Team Leadership
32.0,Male,Bachelor,Software Engineer,5.0,90000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
28.0,Female,Master,Data Analyst,3.0,65000.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
38.0,Male,PhD,Senior Scientist,10.0,110000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0
29.0,Male,Master,Software Developer,3.0,75000.0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
39.0,Male,PhD,Senior Engineer,12.0,115000.0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
25.0,Female,Bachelor,Data Entry Clerk,0.0,35000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
34.0,Female,Master,Business Analyst,5.0,80000.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
37.0,Female,Master,Software Manager,11.0,110000.0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
24.0,Male,Bachelor,Junior Developer,1.0,40000.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
29.0,Male,Master,Data Scientist,3.0,75000.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
27.0,Male,Bachelor,Technical Writer,2.0,45000.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
42.0,Male,Master,Project Engineer,14.0,115000.0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
30.0,Male,Bachelor,Network Engineer,3.0,60000.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
28.0,Female,Bachelor,Copywriter,2.0,40000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
38.0,Male,PhD,Senior Scientist,11.0,120000.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0
25.0,Male,Bachelor,Help Desk Analyst,0.0,35000.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
